,name,link,HOF,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar,/players/a/abdulka01.html,True,Career,,,NBA,C,1560.0,625.0,36.8,10.2,18.1,0.5589999999999999,0.0,0.0,0.055999999999999994,10.2,18.1,0.56,0.5589999999999999,4.3,6.0,0.721,2.4,7.6,11.2,3.6,0.9,2.6,2.7,3.0,24.6
1,Ray Allen,/players/a/allenra02.html,True,Career,,,NBA,SG,1300.0,1149.0,35.6,6.6,14.6,0.452,2.3,5.7,0.4,4.3,8.9,0.485,0.53,3.4,3.8,0.894,0.9,3.1,4.1,3.4,1.1,0.2,2.1,2.2,18.9
2,Tiny Archibald,/players/a/architi01.html,True,Career,,,NBA,PG,876,268,35.6,6.7,14.4,.467,0.1,0.3,.224,6.7,14.3,.469,.468,5.3,6.6,.810,0.5,1.6,2.3,7.4,1.1,0.1,2.7,2.3,18.8
3,Paul Arizin,/players/a/arizipa01.html,True,Career,,,NBA,SF,713,,38.4,7.9,18.7,.421,,,,,,,,7.0,8.7,.810,,,8.6,2.3,,,,3.9,22.8
4,Al Attles,/players/a/attleal01.html,True,Career,,,NBA,PG,711,,25.1,3.5,7.8,0.451,,,,,,,,1.9,3.0,0.632,,,3.5,3.5,,,,3.4,8.9
5,Charles Barkley,/players/b/barklch01.html,True,Career,,,NBA,PF,1073.0,1012.0,36.7,7.9,14.5,0.541,0.5,1.9,0.266,7.4,12.7,0.581,0.5579999999999999,5.9,8.1,0.735,4.0,7.7,11.7,3.9,1.5,0.8,3.1,3.1,22.1
6,Don Barksdale,/players/b/barksdo01.html,True,Career,,,NBA,PF,262.0,,28.5,3.9,10.5,0.37,,,,,,,,3.3,5.0,0.66,,,8.0,2.1,,,,3.6,11.0
7,Rick Barry,/players/b/barryri01.html,True,Career,,,TOT,SF,1020,,37.4,9.5,20.9,.456,0.6,2.0,.297,9.3,20.3,.460,.460,5.6,6.3,.893,1.3,4.6,6.7,4.9,2.0,0.5,3.0,3.0,24.8
8,Elgin Baylor,/players/b/bayloel01.html,True,Career,,,NBA,SF,846,,40.0,10.3,23.8,0.431,,,,,,,,6.8,8.7,0.78,,,13.5,4.3,,,,3.1,27.4
9,Zelmo Beaty,/players/b/beatyze01.html,True,Career,,,TOT,C,889,,33.4,6.4,13.0,.494,0.0,0.0,.154,6.4,13.0,.495,.494,4.2,5.5,.771,3.3,7.1,10.9,1.5,0.7,0.8,2.3,3.6,17.1
