,name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Kareem Abdul-Jabbar,1969-70,22.0,MIL,NBA,C,82.0,,43.1,11.4,22.1,0.518,,,,11.4,22.1,0.518,0.518,5.9,9.1,0.653,,,14.5,4.1,,,,3.5,28.8
1,Kareem Abdul-Jabbar,1970-71,23.0,MIL,NBA,C,82.0,,40.1,13.0,22.5,0.5770000000000001,,,,13.0,22.5,0.5770000000000001,0.5770000000000001,5.7,8.3,0.69,,,16.0,3.3,,,,3.2,31.7
2,Kareem Abdul-Jabbar,1971-72,24.0,MIL,NBA,C,81.0,,44.2,14.3,24.9,0.574,,,,14.3,24.9,0.574,0.574,6.2,9.0,0.6890000000000001,,,16.6,4.6,,,,2.9,34.8
3,Kareem Abdul-Jabbar,1972-73,25.0,MIL,NBA,C,76.0,,42.8,12.9,23.3,0.5539999999999999,,,,12.9,23.3,0.5539999999999999,0.5539999999999999,4.3,6.1,0.713,,,16.1,5.0,,,,2.7,30.2
4,Kareem Abdul-Jabbar,1973-74,26.0,MIL,NBA,C,81.0,,43.8,11.7,21.7,0.539,,,,11.7,21.7,0.539,0.539,3.6,5.2,0.7020000000000001,3.5,11.0,14.5,4.8,1.4,3.5,,2.9,27.0
5,Kareem Abdul-Jabbar,1974-75,27.0,MIL,NBA,C,65.0,,42.3,12.5,24.4,0.513,,,,12.5,24.4,0.513,0.513,5.0,6.6,0.763,3.0,11.0,14.0,4.1,1.0,3.3,,3.2,30.0
6,Kareem Abdul-Jabbar,1975-76,28.0,LAL,NBA,C,82.0,,41.2,11.1,21.1,0.529,,,,11.1,21.1,0.529,0.529,5.5,7.8,0.703,3.3,13.5,16.9,5.0,1.5,4.1,,3.6,27.7
7,Kareem Abdul-Jabbar,1976-77,29.0,LAL,NBA,C,82.0,,36.8,10.8,18.7,0.579,,,,10.8,18.7,0.579,0.579,4.6,6.5,0.701,3.2,10.0,13.3,3.9,1.2,3.2,,3.2,26.2
8,Kareem Abdul-Jabbar,1977-78,30.0,LAL,NBA,C,62.0,,36.5,10.7,19.4,0.55,,,,10.7,19.4,0.55,0.55,4.4,5.6,0.7829999999999999,3.0,9.9,12.9,4.3,1.7,3.0,3.4,2.9,25.8
9,Kareem Abdul-Jabbar,1978-79,31.0,LAL,NBA,C,80.0,,39.5,9.7,16.8,0.5770000000000001,,,,9.7,16.8,0.5770000000000001,0.5770000000000001,4.4,5.9,0.736,2.6,10.2,12.8,5.4,1.0,4.0,3.5,2.9,23.8
10,Kareem Abdul-Jabbar,1979-80,32.0,LAL,NBA,C,82.0,,38.3,10.2,16.9,0.604,0.0,0.0,0.0,10.2,16.9,0.604,0.604,4.4,5.8,0.765,2.3,8.5,10.8,4.5,1.0,3.4,3.6,2.6,24.8
11,Kareem Abdul-Jabbar,1980-81,33.0,LAL,NBA,C,80.0,,37.2,10.5,18.2,0.574,0.0,0.0,0.0,10.5,18.2,0.574,0.574,5.3,6.9,0.7659999999999999,2.5,7.8,10.3,3.4,0.7,2.9,3.1,3.1,26.2
12,Kareem Abdul-Jabbar,1981-82,34.0,LAL,NBA,C,76.0,76.0,35.2,9.9,17.1,0.579,0.0,0.0,0.0,9.9,17.1,0.58,0.579,4.1,5.8,0.706,2.3,6.4,8.7,3.0,0.8,2.7,3.0,2.9,23.9
13,Kareem Abdul-Jabbar,1982-83,35.0,LAL,NBA,C,79.0,79.0,32.3,9.1,15.5,0.588,0.0,0.0,0.0,9.1,15.5,0.589,0.588,3.5,4.7,0.7490000000000001,2.1,5.4,7.5,2.5,0.8,2.2,2.5,2.8,21.8
14,Kareem Abdul-Jabbar,1983-84,36.0,LAL,NBA,C,80.0,80.0,32.8,9.0,15.5,0.578,0.0,0.0,0.0,9.0,15.5,0.579,0.578,3.6,4.9,0.723,2.1,5.2,7.3,2.6,0.7,1.8,2.8,2.6,21.5
15,Kareem Abdul-Jabbar,1984-85,37.0,LAL,NBA,C,79.0,79.0,33.3,9.2,15.3,0.599,0.0,0.0,0.0,9.2,15.3,0.6,0.599,3.7,5.0,0.732,2.1,5.8,7.9,3.2,0.8,2.1,2.5,3.0,22.0
